name;position
Millar, Mr. Thomas;engineer
Ervine, Mr. Albert George;engineer
Jupe, Mr. Herbert;engineer
Kelly, Mr. William;engineer
Middleton, Mr. Alfred Pirrie;engineer
Kemp, Mr. Thomas Hulman;engineer
Harrison, Mr. Norman;engineer
Chisnall, Mr. George Alexander;engineer
Sloan, Mr. Peter;engineer
Bell, Mr. Joseph;engineer
Creese, Mr. Henry Philip;engineer
Anderson, Mr. James;deck_crew
Anderson, Mr. John;deck_crew
Archer, Mr. Ernest Edward;deck_crew
Bailey, Mr. Joseph Henry;deck_crew
Bradley, Mr. T.;deck_crew
Brice, Mr. Walter T.;deck_crew
Bright, Mr. Arthur John;deck_crew
Buley, Mr. Edward John;deck_crew
Clench, Mr. Frederick;deck_crew
Clench, Mr. George James;deck_crew
Couch, Mr. Frank;deck_crew
Davis, Mr. Stephen James;deck_crew
Evans, Mr. Alfred Frank;deck_crew
Evans, Mr. Frank Oliver;deck_crew
Fleet, Mr. Frederick;deck_crew
Foley, Mr. John;deck_crew
Forward, Mr. James;deck_crew
Haines, Mr. Albert M.;deck_crew
Harder, Mr. William;deck_crew
Hemming, Mr. Samuel Ernest;deck_crew
Hichens, Mr. Robert;deck_crew
Hogg, Mr. George Alfred;deck_crew
Holman, Mr. Harry;deck_crew
Hopkins, Mr. Robert John;deck_crew
Horswill, Mr. Albert Edward James;deck_crew
Humphreys, Mr. Sidney James;deck_crew
Hutchinson, Mr. John Hall;deck_crew
Jewell, Mr. Archie;deck_crew
Jones, Mr. Thomas William;deck_crew
King, Mr. Thomas W.;deck_crew
Lee, Mr. Reginald Robinson;deck_crew
Lucas, Mr. William A.;deck_crew
Lyons, Mr. William Henry;deck_crew
Matherson, Mr. David;deck_crew
Mathais, Mr. Montague Vincent;deck_crew
Maxwell, Mr. John;deck_crew
McCarthy, Mr. William;deck_crew
McGough, Mr. James R.;deck_crew
Moore, Mr. George Alfred;deck_crew
Nichols, Mr. Alfred;deck_crew
O'Loughlin, Dr. William Francis Norman;deck_crew
Olliver, Mr. Alfred;deck_crew
Osman, Mr. Frank;deck_crew
Pascoe, Mr. Charles H.;deck_crew
Perkis, Mr. Walter John;deck_crew
Peters, Mr. William Chapman;deck_crew
Poingdestre, Mr. John Thomas;deck_crew
Rowe, Mr. George Thomas;deck_crew
Sawyer, Mr. Robert James;deck_crew
Scarrott, Mr. Joseph George;deck_crew
Simpson, Dr. John Edward;deck_crew
Smith, Mr. William;deck_crew
Symons, Mr. George Thomas Macdonald;deck_crew
Tamlyn, Mr. Frederick;deck_crew
Taylor, Mr. C.;deck_crew
Terrell, Mr. Bertram;deck_crew
Terrell, Mr. Bertram;deck_crew
Vigott, Mr. Philip Francis;deck_crew
Weller, Mr. William Clifford;deck_crew
Wynn, Mr. Walter;deck_crew
Allsop, Mr. Alfred Samuel;Electrician
Foster, Mr. A.;engineer
Newman, Mr. Charles Thomas;engineer
Rudd, Mr. Henry;engineer
Millar, Mr. Robert;engineer
Abrams, Mr. William;fireman
Adams, Mr. R.;fireman
Allen, Mr. Henry;fireman
Bailey, Mr. George W.;fireman
Barlow, Mr. Charles;fireman
Barnes, Mr. Charles;fireman
Barnes, Mr. Frederick;fireman
Barrett, Mr. Frederick William;fireman
Beauchamp, Mr. George William;fireman
Bendell, Mr. F.;fireman
Bennett, Mr. George Alfred;fireman
Benville, Mr. E.;fireman
